image,ground_truth,scut_head_pred,mdnn_pred,predicted,error,absolute_error,squared_error,percentage_error,counting_accuracy,density
bus_1.jpg,5,6.0,11.78,6.0,1.0,1.0,1.0,20.0,80.0,sparse
bus_10.jpg,17,18.0,23.91,20.96,3.96,3.96,15.68,23.29,76.71,sparse
bus_10_bus_10_mp4-0001_jpg.rf.1b610d26a262b50c8b3a49fa2bb57fed.jpg,14,12.0,20.83,12.0,-2.0,2.0,4.0,14.29,85.71,sparse
bus_10_bus_10_mp4-0002_jpg.rf.a3087cea40ee166783e0ab85b7234303.jpg,14,7.0,20.82,7.0,-7.0,7.0,49.0,50.0,50.0,sparse
bus_10_bus_10_mp4-0003_jpg.rf.8fb826bdc5e43418a218ad54b93db37f.jpg,12,4.0,24.17,4.0,-8.0,8.0,64.0,66.67,33.33,sparse
bus_10_bus_10_mp4-0004_jpg.rf.5ea770a261be3cdce0dc9ca77d63ae8e.jpg,12,6.0,30.72,6.0,-6.0,6.0,36.0,50.0,50.0,sparse
bus_10_bus_10_mp4-0005_jpg.rf.28aa486312808969fb3dfd91e1592956.jpg,11,6.0,27.34,6.0,-5.0,5.0,25.0,45.45,54.55,sparse
bus_10_bus_10_mp4-0007_jpg.rf.ef28bba1c3e0f47e05f207aa066efad1.jpg,13,6.0,27.42,6.0,-7.0,7.0,49.0,53.85,46.15,sparse
bus_10_bus_10_mp4-0009_jpg.rf.d445be022358ece2dc5b6858f4d595f1.jpg,14,6.0,21.07,6.0,-8.0,8.0,64.0,57.14,42.86,sparse
bus_10_bus_10_mp4-0010_jpg.rf.d1c1bf7dd3c1f04276a97dde2ace152e.jpg,12,6.0,23.41,6.0,-6.0,6.0,36.0,50.0,50.0,sparse
bus_10_bus_10_mp4-0011_jpg.rf.b17519f307e78f776311e4cb9859d76b.jpg,14,9.0,24.47,9.0,-5.0,5.0,25.0,35.71,64.29,sparse
bus_10_bus_10_mp4-0012_jpg.rf.9d08d72f4d0d7880ba8ccf7d3b809581.jpg,14,6.0,24.06,6.0,-8.0,8.0,64.0,57.14,42.86,sparse
bus_10_bus_10_mp4-0013_jpg.rf.14253c8715111d4e448f14a6744b2ce6.jpg,14,8.0,23.59,8.0,-6.0,6.0,36.0,42.86,57.14,sparse
bus_10_bus_10_mp4-0014_jpg.rf.e81bf30daf8b5d68bdfb3e981f3f558f.jpg,12,6.0,27.77,6.0,-6.0,6.0,36.0,50.0,50.0,sparse
bus_10_bus_10_mp4-0015_jpg.rf.e0bbe5026ea6d21d01e1e4db89c7b4fc.jpg,14,6.0,29.53,6.0,-8.0,8.0,64.0,57.14,42.86,sparse
bus_10_bus_10_mp4-0016_jpg.rf.e95910b2d6b2746289006c2568987a6c.jpg,14,5.0,26.87,5.0,-9.0,9.0,81.0,64.29,35.71,sparse
bus_10_bus_10_mp4-0017_jpg.rf.efb1b221e0be5742db4adab6db3b49ed.jpg,12,5.0,25.98,5.0,-7.0,7.0,49.0,58.33,41.67,sparse
bus_10_bus_10_mp4-0018_jpg.rf.9661c5120fed7d765cdcb0a820d0cdc2.jpg,13,10.0,25.23,10.0,-3.0,3.0,9.0,23.08,76.92,sparse
bus_10_bus_10_mp4-0019_jpg.rf.6a048c9691b142edcccf850f6c20581a.jpg,13,10.0,24.44,10.0,-3.0,3.0,9.0,23.08,76.92,sparse
bus_10_bus_10_mp4-0020_jpg.rf.477e89af03d9ab8c5ab3f16bca2e3ec7.jpg,13,5.0,24.31,5.0,-8.0,8.0,64.0,61.54,38.46,sparse
bus_11.jpg,13,12.0,77.8,12.0,-1.0,1.0,1.0,7.69,92.31,sparse
bus_12.jpg,5,5.0,46.17,5.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_13.jpg,19,22.0,55.47,22.0,3.0,3.0,9.0,15.79,84.21,sparse
bus_14.jpg,7,8.0,25.44,8.0,1.0,1.0,1.0,14.29,85.71,sparse
bus_15.jpg,9,12.0,18.27,12.0,3.0,3.0,9.0,33.33,66.67,sparse
bus_16.jpg,6,6.0,20.79,6.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_17.jpg,10,12.0,11.99,12.0,2.0,2.0,4.0,20.0,80.0,sparse
bus_18.jpg,3,2.0,12.41,2.0,-1.0,1.0,1.0,33.33,66.67,sparse
bus_19.jpg,3,2.0,79.93,2.0,-1.0,1.0,1.0,33.33,66.67,sparse
bus_1_bus_1_mp4-0004_jpg.rf.ebe48d0528bda83e87d543413209e42a.jpg,4,0.0,12.3,12.3,8.3,8.3,68.89,207.5,0.0,sparse
bus_1_bus_1_mp4-0007_jpg.rf.670a10f37b5de99125adfc67e2d31a5f.jpg,3,1.0,11.95,1.0,-2.0,2.0,4.0,66.67,33.33,sparse
bus_1_bus_1_mp4-0008_jpg.rf.f8981129a45dd3998b20cce7c67945ed.jpg,7,2.0,15.19,2.0,-5.0,5.0,25.0,71.43,28.57,sparse
bus_1_bus_1_mp4-0009_jpg.rf.197030813260c3b534f2f43cf290f6fb.jpg,4,0.0,11.31,11.31,7.31,7.31,53.44,182.75,0.0,sparse
bus_1_bus_1_mp4-0010_jpg.rf.6ac27aba39b83cc8b7857fec6678ddad.jpg,3,1.0,11.92,1.0,-2.0,2.0,4.0,66.67,33.33,sparse
bus_2.jpg,5,6.0,30.45,6.0,1.0,1.0,1.0,20.0,80.0,sparse
bus_20.jpg,6,6.0,8.06,7.03,1.03,1.03,1.06,17.17,82.83,sparse
bus_21.jpg,11,12.0,16.58,14.29,3.29,3.29,10.82,29.91,70.09,sparse
bus_22.jpg,6,7.0,17.24,7.0,1.0,1.0,1.0,16.67,83.33,sparse
